ID,latitude,longitude,location
1,40.05066328,-75.28873652,13556
2,40.07400874,-75.3069736,13556
3,33.64819496,-111.9426093,843
4,48.8840615,2.3319895,74683
5,40.10904877,-75.04942793,13556
6,40.683967,-73.992416,861
7,40.86508267,-73.85356301,46
8,40.81836311,-74.10938976,861
9,33.31920182,-112.1957032,843
10,40.07867945,-75.30354989,13556
11,41.9777734,-87.90611744,2501
12,41.94345199,12.46845245,2226
13,33.76354697,-112.047389,843
14,40.88581912,-73.70637111,11543
15,41.9078,12.4914,2226
16,41.89096085,12.5037396,2226
17,41.9013922,-87.6634357,2501
18,41.89592042,-87.62489319,2501
19,40.61150587,-74.11152867,46
20,-23.43478547,-46.55178322,209
21,40.57828122,-73.72774772,11543
22,40.86225161,-73.89434338,861
23,40.75394289,-73.91192179,11543
24,40.849994,-73.948591,46
25,42.05071909,12.57190246,2226
26,41.899986,12.477576,2226
27,33.2354025,-112.1954139,843
28,45.5008642,9.1097569,93036
29,40.85747516,-73.84276227,46
30,-23.70201661,-46.7601164,209
31,48.88068,2.333112,74683
32,45.39822304,9.074899806,93036
33,48.86536408,2.32103348,74683
34,48.8547689,2.3329663,74683
35,40.9033563,-74.13538739,46
36,-23.5378321,-46.7189614,209
37,40.025244,-75.1250876,13556
38,33.45903,-112.068629,843
39,40.85121557,-73.95206451,46
40,40.86645584,-73.95791199,11543
41,41.97491798,-87.90021658,2501
42,39.9648196,-75.18004417,13556
43,48.869319,2.332279,74683
44,40.77995446,-73.93255358,11543
45,40.85121557,-73.95206451,46
46,40.872317,-73.855677,861
47,45.43187,9.17763,93036
48,33.81856196,-112.0947431,843
49,40.60459372,-74.08503987,46
50,33.46244023,-111.9445977,843
51,40.63671381,-74.03555241,11543
52,-23.528905,-46.72683,209
53,-23.43512722,-46.84524467,209
54,48.73354545,2.245074,74683
55,41.9777734,-87.90611744,2501
56,39.9776281,-75.1191865,13556
57,34.16458795,-118.1311737,2333
58,41.8525252,-87.6124263,2501
59,45.464852,9.176906,93036
60,41.9130525,12.4880245,2226
61,33.5635454,-112.0362038,843
62,39.9617488,-75.1431884,13556
63,33.33846825,-112.1740026,843
64,41.89167982,-87.62252669,2501
65,40.69054726,-73.98506641,861
66,41.78905796,-87.82656155,2501
67,39.9863382,-75.1319094,13556
68,34.08927924,-118.5117797,2333
69,39.952335,-75.163789,13556
70,45.4594598,9.1518439,93036
71,42.00568042,12.61769668,2226
72,33.3929282,-111.9813991,843
73,33.30225803,-111.9792773,843
74,48.95922755,2.424891663,74683
75,45.4491876,9.1797189,93036
76,40.721296,-73.968092,46
77,40.70731962,-73.99073124,46
78,33.47088318,-111.8298922,843
79,45.4852664,9.2033264,93036
80,45.51209119,9.13916588,93036
81,39.95314195,-75.15961647,13556
82,45.465432,9.192801,93036
83,40.62316622,-74.10886405,46
84,40.73178741,-73.79266895,46
85,33.49304618,-112.0805142,843
86,40.680548,-73.9499234,861
87,39.95679348,-75.18781185,13556
88,48.870008,2.246204,74683
89,40.81531005,-73.68388629,11543
90,40.03783368,-75.03872395,13556
91,40.79682005,-73.92052174,46
92,33.4470818,-112.0620794,843
93,34.14492906,-118.4568142,2333
94,42.04314108,12.34217064,2226
95,45.4801861,9.1796317,93036
